County,Acres seeded ,Acres harvested,Yield (bushels/ac),Production ('000 bushels),Production ('000 tonnes)
Parry Sound,0,0,0,0,0
Peterborough,15285.242518059857,15143.515651874786,110.49285410912375,1673.2502656218328,42.50280089468179
Prince Edward,41662.66891072925,41276.366927319614,102.62888373684827,4236.147462463373,107.60382702863677
York,37502.47747279767,37154.74935529375,151.39971391132872,5625.2184228385995,142.88809243138078
Central Ontario,215700,213700,132.46279831539542,28307.3,719.0433854907538
Frontenac,7795.368579763348,7666.111639188436,113.19407033963503,867.7583801177907,22.042226684560827
Lanark,10581.758544317134,10406.299780392672,104.38955447855966,1086.3089978455241,27.593705492926336
Leeds and Grenville,29080.550782048704,28598.358954188385,138.32397240780392,3955.8386148876266,100.48360635256113
Lennox and Addington,11011.987095142886,10829.394604870695,93.16100795750657,1008.8773169593376,25.626836947758015
Ottawa,55539.865519776366,54618.94522927661,121.20996131906792,6620.360238528906,168.16602922497728
Prescott and Russell,60083.92808367242,59087.66156434714,135.52576618258573,8007.900605445467,203.4114155010533
Renfrew,24663.848294570376,24254.890906508463,103.69813377782009,2515.1869219895466,63.88912116413194
"Stormont, Dundas and Glengarry",132942.69310070877,130738.33732122762,152.1081675940582,19886.368924225804,505.14044209067777
Eastern Ontario,331700,326200,134.72900061312077,43948.6,1116.3533834586465
Algoma,0,0,0,0,0
Cochrane,0,0,0,0,0
Greater Sudbury,0,0,0,0,0
Kenora,0,0,0,0,0
Manitoulin,0,0,0,0,0
Nipissing,0,0,0,0,0
Rainy River,0,0,0,0,0
Sudbury,0,0,0,0,0
Thunder Bay,487.2460496613996,487.2460496613996,74.65060899139755,36.37321433587621,0.9239284275522305
Timiskaming,352.8216704288939,352.8216704288939,111.78006385033152,39.43842884832239,1.0017889872059131
Northern Ontario,1389.6985552635201,1083.8027861883893,125.97871146901896,136.53607849054595,3.4681995145942373
Ontario,2275585.6985552637,2210183.802786188,153.1789960869793,338553.73607849056,8599.71896155483
,,,,,
2011,Acres seeded ,Acres harvested,Yield (bushels/ac),Production ('000 bushels),Production ('000 tonnes)
Brant,44948,44948,159,7146.732,181.53657793131475
Chatham-Kent,157185,129522,170,22018.74,559.3055273318431
Elgin,110906,95359.8588059609,169,16115.816138207392,409.36334429504655
Essex,53322,53322,163.32752650457397,8708.950368276892,221.2190197184742
Haldimand-Norfolk,90423,83224,155.6,12949.654400000001,328.9385897175371
Hamilton,25106,23909.222334521135,150,3586.3833501781705,91.09894711893341
Lambton,100813,100813,140.8,14197.012794682501,360.62316588809443
Middlesex,176493,168401,148.8111887696629,25059.953,636.5564163787848
Niagara,25976,21402.00305553659,145.30931531860884,3109.910410446796,78.9958954086262
Oxford,129181,129181,170,21960.77,557.8330115830115
Southern Ontario,914353,850082.1323111897,158.6363452656736,134853.92264549792,3425.470500038049
Bruce,63921,63921,133,8501.493,215.94932432432432
Dufferin,11808,9702.551732451406,142,1377.7623460080997,34.99701143080928
Grey,22142,22142,139,3077.738,78.17867303393618
Halton,12930,10798.20172997447,124,1338.977014516834,34.01181199240078
Huron,184528,143493.96721946285,161,23102.52872233352,586.8352144465943
Peel,13244,13244,140,1854.16,47.09815078236131
Perth,126591,121424,160.4842041112136,19486.634,494.98663889453354
Simcoe,56881,56881,147.9,8412.6999,213.69386049583417
Waterloo,43766,43766,145.6,6372.3296,161.86571834992887
Wellington,80363,80363,140.1,11258.8563,285.99005029465553
Western Ontario,616174,565735.3145105159,149.86368564212086,84783.17933045032,2153.606465414812
Durham,54575,54575,145.29142587185527,7929.279566956501,201.4143356776189
Haliburton,0,0,0,0,0
Hastings,20204,16333.509296632004,158,2580.6944688678564,65.5531007129612
Kawartha Lakes,18741,18741,157,2942.337,74.73930603535867
Muskoka,0,0,0,0,0
Northumberland,37708,26439.334475090636,142.00312833057401,3754.4682064412655,95.36852790188135
Parry Sound,484,0,0,0,0
Peterborough,12509,11094.172006335997,149,1653.0316289440636,41.98922040601665
Prince Edward,16680,11464.485017978672,141,1616.4923875349928,41.06107466813129
York,25064,16879.678715630103,147,2481.312771197625,63.02867230231723
Central Ontario,185965,173029.17742178787,141.62907807668446,24505.962878614882,622.4843242891404
Frontenac,5821,4665.482084597032,136.65586162973256,637.5654741886881,16.19501814135054
Lanark,8907,7038,143,1006.434,25.564773420036577
Leeds and Grenville,24778,24778,146.26046643724942,3624.0418373821662,92.05552320113203
Lennox and Addington,11697,10415.209691368857,121.86600433735936,1269.2599894228642,32.240906051180254
Ottawa,52172,44815.80747607781,135.69845982376492,6081.436050262129,154.47663204282995
Prescott and Russell,65395,55458.816271744894,126.8836343898203,7036.8161675162955,178.74456836812374
Renfrew,15750,14903.731956747099,139.65101156340918,2081.32124382964,52.868351042207884
"Stormont, Dundas and Glengarry",127887,125844.82878565814,149.57781087740034,18823.594,478.14453363137574
Eastern Ontario,312407,287920.4696188848,140.87386548623388,40560.46950782406,1030.290324827882
Algoma,135,0,0,0,0
Cochrane,152,0,0,0,0
Greater Sudbury,0,0,0,0,0
Kenora,N/A,0,0,0,0
Manitoulin,698,0,0,0,0
Nipissing,N/A,0,0,0,0
Rainy River,85,0,0,0,0
Sudbury,N/A,0,0,0,0
Thunder Bay,245,0,0,0,0
Timiskaming,1594,0,0,0,0
Northern Ontario,3457,3232.9061376220075,91.70251934096326,296.465637612801,7.530624812355238
Ontario,2032356,1880000,151.59574468085106,285000,7239.382239382239
,,,,,
2010,Acres seeded ,Acres harvested,Yield (bushels/ac),Production ('000 bushels),Production ('000 tonnes)
Brant,45000,44900,161,7229,183.6262954684007
Chatham-Kent,145000,144500,179,25866,657.0310912416176
Elgin,120000,119600,171,20452,519.5082300345458
Essex,52000,51800,158,8184,207.88457630562894
Haldimand-Norfolk,90000,89700,169,15159,385.0589311115627
Hamilton,31000,30900,156,4820,122.43446453972768
Lambton,100000,99700,147,14656,372.2820564925828
Middlesex,150000,149500,166,24817,630.3850843324527
Niagara,26000,25900,141,3652,92.76569802885592
Oxford,150000,149600,176,26330,668.8173135541556
Southern Ontario,909000,906100,166.83037192362875,151165,3839.7937411095304
Bruce,65000,64300,152,9774,248.27270879902457
Dufferin,10000,9900,148,1465,37.21296484454379
Grey,16000,15800,144,2275,57.788051209103834
Halton,14000,13800,136,1877,47.67831741515952
Huron,155000,153300,172,26368,669.7825645194066
Peel,12000,11900,147,1749,44.426945742735214
Perth,115000,113700,170,19329,490.9825238772607
Simcoe,40000,39500,162,6399,162.54318228002438
Waterloo,39000,38600,162,6253,158.8345864661654
Wellington,62000,61300,155,9502,241.36354399512294
Western Ontario,528000,522100,162.78682244780694,84991,2158.885389148547
Durham,58000,57600,162,9331,237.0199146514936
Haliburton,N/A,N/A,N/A,N/A,N/A
Hastings,20000,19900,159,3164,80.36984352773825
Kawartha Lakes,18000,17900,160,2864,72.7494411704938
Muskoka,N/A,N/A,N/A,N/A,N/A
Northumberland,31000,30800,150,4620,117.35419630156471
Parry Sound,N/A,N/A,N/A,N/A,N/A
Peterborough,9000,8900,150,1335,33.910790489737856
Prince Edward,16000,15900,140,2226,56.543385490753906
York,18000,17900,148,2649,67.2881528144686
Central Ontario,170000,168900,155.05624629958555,26189,665.2357244462507
Frontenac,4000,3900,134,523,13.28490144279618
Lanark,10000,9800,163,1597,40.565941881731355
Leeds and Grenville,20000,19700,148,2916,74.07031091241618
Lennox and Addington,8000,7900,150,1185,30.100589311115627
Ottawa,40000,39400,170,6698,170.138183296078
Prescott and Russell,62000,61000,166,10126,257.21398089819144
Renfrew,11000,10800,140,1512,38.40682788051209
"Stormont, Dundas and Glengarry",110000,108300,165,17870,453.9219670798618
Eastern Ontario,265000,260800,162.68021472392638,42427,1077.7027027027027
Algoma,N/A,N/A,N/A,N/A,N/A
Cochrane,N/A,N/A,N/A,N/A,N/A
Greater Sudbury,N/A,N/A,N/A,N/A,N/A
Kenora,N/A,N/A,N/A,N/A,N/A
Manitoulin,N/A,N/A,N/A,N/A,N/A
Nipissing,N/A,N/A,N/A,N/A,N/A
Rainy River,N/A,N/A,N/A,N/A,N/A
Sudbury,N/A,N/A,N/A,N/A,N/A
Thunder Bay,N/A,N/A,N/A,N/A,N/A
Timiskaming,N/A,N/A,N/A,N/A,N/A
Northern Ontario,3000,2100,108.4,228,5.7915057915057915
Ontario,1875000,1860000,163.9784946236559,305000,7747.409063198536
,,,,,
2009,Acres seeded ,Acres harvested,Yield (bushels/ac),Production ('000 bushels),Production ('000 tonnes)
Brant,38000,37600,146,5490,139.45336313757366
Chatham-Kent,130000,128800,165,21252,539.8293029871977
Elgin,95000,94100,158,14868,377.6671408250355
Essex,39000,38600,161,6215,157.86933550091445
Haldimand-Norfolk,85000,84200,163,13725,348.63340784393415
Hamilton,29000,28700,144,4133,104.98374314163787
Lambton,100000,99100,156,15460,392.70473480999794
Middlesex,140000,138700,154,21360,542.5726478358057
Niagara,22000,21800,137,2987,75.87380613696402
Oxford,165000,163600,153,25031,635.8209713472871
Southern Ontario,843000,835200,156.27514367816093,130521,3315.4084535663483
Bruce,65000,64400,124,7986,202.85511074984757
Dufferin,7000,6900,99,683,17.34911603332656
Grey,13000,12900,118,1522,38.66084129242024
Halton,13000,12900,124,1600,40.6421459053038
Huron,180000,178500,134,23919,607.5746799431009
Peel,7000,6900,132,911,23.14062182483235
Perth,110000,109000,139,15151,384.85572038203617
Simcoe,38000,37700,121,4562,115.88091851249746
Waterloo,52000,51500,129,6644,168.76651087177402
Wellington,58000,57500,120,6900,175.26925421662264
Western Ontario,543000,538200,129.83649201040507,69878,1774.9949197317617
Durham,73000,72000,114,8208,208.4942084942085
Haliburton,N/A,N/A,N/A,N/A,N/A
Hastings,11000,10900,121,1319,33.50436903068482
Kawartha Lakes,20000,19700,108,2128,54.05405405405405
Muskoka,N/A,N/A,N/A,N/A,N/A
Northumberland,21000,20700,134,2774,70.46332046332046
Parry Sound,N/A,N/A,N/A,N/A,N/A
Peterborough,7000,6900,113,780,19.8130461288356
Prince Edward,15000,14800,109,1613,40.97236334078439
York,18000,17800,123,2189,55.60353586669376
Central Ontario,165000,162800,116.77518427518427,19011,482.90489737858155
Frontenac,4000,3800,90,342,8.687258687258687
Lanark,8000,7700,138,1063,27.00162568583621
Leeds and Grenville,13000,12400,131,1624,41.25177809388335
Lennox and Addington,10000,9600,116,1114,28.297094086567768
Ottawa,30000,28700,148,4248,107.90489737858158
Prescott and Russell,45000,43100,142,6120,155.45620808778702
Renfrew,11000,10500,120,1260,32.00568990042674
"Stormont, Dundas and Glengarry",110000,105200,148,15570,395.49888234098756
Eastern Ontario,231000,221000,141.81447963800906,31341,796.103434261329
Algoma,N/A,N/A,N/A,N/A,N/A
Cochrane,N/A,N/A,N/A,N/A,N/A
Greater Sudbury,N/A,N/A,N/A,N/A,N/A
Kenora,N/A,N/A,N/A,N/A,N/A
Manitoulin,N/A,N/A,N/A,N/A,N/A
Nipissing,N/A,N/A,N/A,N/A,N/A
Rainy River,N/A,N/A,N/A,N/A,N/A
Sudbury,N/A,N/A,N/A,N/A,N/A
Thunder Bay,N/A,N/A,N/A,N/A,N/A
Timiskaming,N/A,N/A,N/A,N/A,N/A
Northern Ontario,3000,3000,83,249,6.324933956512903
Ontario,1785000,1760200,142.5974321099875,251000,6375.736638894533
,,,,,
2008,Acres seeded ,Acres harvested,Yield (bushels/ac),Production ('000 bushels),Production ('000 tonnes)
Brant,34000,33500,148,4958,125.93984962406014
Chatham-Kent,130000,128200,175,22435,569.8790896159317
Elgin,87000,85800,167,14328.6,363.96565738671
Essex,61000,60100,138,8293.8,210.67364356838038
Haldimand-Norfolk,64000,63100,158,9969.8,253.2462914041861
Hamilton,32000,31500,161,5071.5,128.82290184921763
Lambton,98000,96600,172,16615.2,422.0483641536273
Middlesex,132000,130100,180,23418,594.8486080065027
Niagara,34000,33500,156,5226,132.74740906319852
Oxford,145000,143000,171,24453,621.138996138996
Southern Ontario,817000,805400,167.33163645393594,134768.9,3423.3108108108104
Bruce,61000,60600,142,8605.2,218.58362121520017
Dufferin,7500,7400,126,932.4,23.684210526315788
Grey,11000,10900,126,1373.4,34.88620199146515
Halton,16000,15900,147,2337.3,59.37055476529161
Huron,135000,134100,165,22126.5,562.0427758585653
Peel,10000,9900,148,1465.2,37.21804511278195
Perth,100000,99300,156,15490.8,393.487096118675
Simcoe,56000,55600,148,8228.8,209.02255639097743
Waterloo,32000,31800,152,4833.6,122.77992277992279
Wellington,77000,76500,137,10480.5,266.2187563503353
Western Ontario,505500,502000,151.142828685259,75873.70000000001,1927.2937411095309
Durham,73000,68900,138,9508.2,241.521032310506
Haliburton,N/A,N/A,N/A,N/A,N/A
Hastings,8000,7500,141,1057.5,26.86191830928673
Kawartha Lakes,20000,18900,133,2513.7,63.85135135135134
Muskoka,N/A,N/A,N/A,N/A,N/A
Northumberland,45000,42400,143.9,6101.36,154.98272708799024
Parry Sound,N/A,N/A,N/A,N/A,N/A
Peterborough,12000,11300,121,1367.3,34.731253810201174
Prince Edward,16500,15600,140.8,2196.48,55.793537898801056
York,28000,26400,138,3643.2,92.54216622637675
Central Ontario,202500,191000,138.15570680628272,26387.74,670.2839869945133
Frontenac,3000,3000,152,456,11.583011583011583
Lanark,6500,6400,161,1030.4,26.173541963015648
Leeds and Grenville,17000,16800,123,2066.4,52.48933143669986
Lennox and Addington,6000,5900,141,831.9,21.131375736638894
Ottawa,41000,40400,145,5858,148.80105669579353
Prescott and Russell,52000,51200,141,7219.2,183.37736232473074
Renfrew,18000,17700,137.9,2440.83,62.000355618776666
"Stormont, Dundas and Glengarry",90000,88700,146,12950.2,328.9524486892908
Eastern Ontario,233500,230100,142.77674923946114,32852.93000000001,834.5084840479578
Algoma,N/A,N/A,N/A,N/A,N/A
Cochrane,N/A,N/A,N/A,N/A,N/A
Greater Sudbury,N/A,N/A,N/A,N/A,N/A
Kenora,N/A,N/A,N/A,N/A,N/A
Manitoulin,N/A,N/A,N/A,N/A,N/A
Nipissing,N/A,N/A,N/A,N/A,N/A
Rainy River,N/A,N/A,N/A,N/A,N/A
Sudbury,N/A,N/A,N/A,N/A,N/A
Thunder Bay,N/A,N/A,N/A,N/A,N/A
Timiskaming,N/A,N/A,N/A,N/A,N/A
Northern Ontario,1500,1500,77.8,116.7,2.9643365169680957
Ontario,1760000,1730000,156.06934682080927,269999.97000000003,6858.361359479781
,,,,,
2007,Acres seeded ,Acres harvested,Yield (bushels/ac),Production ('000 bushels),Production ('000 tonnes)
Brant,42000,41100,119,4890.9,124.23541963015646
Chatham-Kent,165000,161400,155,25017,635.4653525706157
Elgin,110000,107600,130,13988,355.31396057711845
Essex,60000,58700,142,8335.4,211.73033936191828
Haldimand-Norfolk,99000,96900,112,10852.8,275.6756756756756
Hamilton,22000,21500,112,2408,61.16642958748221
Lambton,140000,137000,135,18495,469.7978053241211
Middlesex,200000,195700,137,26810.9,681.0328185328185
Niagara,36000,35200,91,3203.2,81.3655761024182
Oxford,155000,151700,151,22906.7,581.8609022556391
Southern Ontario,1029000,1006800,135.983214143822,136907.9,3477.6442796179635
Bruce,70000,68500,130,8905,226.19894330420644
Dufferin,11000,10800,114,1231.2,31.274131274131275
Grey,17000,16600,112,1859.2,47.226173541963014
Halton,10000,9800,73,715.4,18.17211948790896
Huron,200000,195700,137,26810.9,681.0328185328185
Peel,9000,8800,86,756.8,19.223735013208696
Perth,150000,146800,145,21286,540.6929485876854
Simcoe,57000,55800,113,6305.4,160.1656167445641
Waterloo,34000,33300,119,3962.7,100.6578947368421
Wellington,85000,83200,117,9734.4,247.2668156878683
Western Ontario,643000,629300,129.61544573335453,81567,2071.911196911197
Durham,52000,50900,104,5293.6,134.46453972769763
Haliburton,N/A,N/A,N/A,N/A,N/A
Hastings,13000,12700,106,1346.2,34.195285511074985
Kawartha Lakes,16000,15700,90,1413,35.89209510262142
Muskoka,N/A,N/A,N/A,N/A,N/A
Northumberland,24000,23500,114,2679,68.05019305019304
Parry Sound,N/A,N/A,N/A,N/A,N/A
Peterborough,8000,7800,100,780,19.8130461288356
Prince Edward,13000,12700,108,1371.6,34.84047957732168
York,20000,19600,103,2018.8,51.28022759601706
Central Ontario,146000,142900,104.28411476557032,14902.199999999999,378.53586669376136
Frontenac,5000,4900,113,553.7,14.064722617354196
Lanark,4000,3900,136,530.4,13.472871367608208
Leeds and Grenville,23000,22500,137,3082.5,78.29963422068685
Lennox and Addington,8000,7800,113,881.4,22.38874212558423
Ottawa,45000,44000,157,6908,175.47246494614916
Prescott and Russell,63000,61700,149,9193.3,233.52214996951835
Renfrew,7000,6900,124,855.6,21.733387522861207
"Stormont, Dundas and Glengarry",125000,122300,159,19445.7,493.9468603942288
Eastern Ontario,280000,274000,151.2795620437956,41450.6,1052.900833163991
Algoma,N/A,N/A,N/A,N/A,N/A
Cochrane,N/A,N/A,N/A,N/A,N/A
Greater Sudbury,N/A,N/A,N/A,N/A,N/A
Kenora,N/A,N/A,N/A,N/A,N/A
Manitoulin,N/A,N/A,N/A,N/A,N/A
Nipissing,N/A,N/A,N/A,N/A,N/A
Rainy River,N/A,N/A,N/A,N/A,N/A
Sudbury,N/A,N/A,N/A,N/A,N/A
Thunder Bay,N/A,N/A,N/A,N/A,N/A
Timiskaming,N/A,N/A,N/A,N/A,N/A
Northern Ontario,2000,2000,86.3,172.6,4.384271489534647
Ontario,2100000,2055000,133.82009732360098,275000.3,6985.376447876447
,,,,,
2006,Acres seeded ,Acres harvested,Yield (bushels/ac),Production ('000 bushels),Production ('000 tonnes)
Brant,34860,33900,146,4949.4,125.72139808981913
Chatham-Kent,122716,119400,167,19939.8,506.4976630766104
Elgin,86273,83900,160,13424,340.9876041454989
Essex,37577,36600,153,5599.8,142.24243040032513
Haldimand-Norfolk,64165,62400,139,8673.6,220.3210729526519
Hamilton,20247,19700,130,2561,65.0528347896769
Lambton,75996,73900,161,11897.9,302.2226173541963
Middlesex,139010,135200,165,22308,566.6531192846982
Niagara,20564,20000,139,2780,70.61572851046535
Oxford,118501,115300,162,18678.6,474.46149156675466
Southern Ontario,719909,700300,158.23518492074825,110812.1,2814.775960170697
Bruce,47229,45900,145,6655.5,169.0586262954684
Dufferin,9778,9500,139,1320.5,33.54247104247104
Grey,13982,13600,135,1836,46.63686242633611
Halton,13740,13400,123,1648.2,41.86649055070107
Huron,151188,147100,159,23388.9,594.10942897785
Peel,10809,10500,117,1228.5,31.20554765291607
Perth,108765,105800,161,17033.8,432.6813655761024
Simcoe,44263,43100,128,5516.8,140.1341190814875
Waterloo,39276,38200,139,5309.8,134.8760414549888
Wellington,64858,63100,140,8834,224.3954480796586
Western Ontario,503888,490200,148.45369237046106,72772.00000000001,1848.5064011379804
Durham,52062,50600,132,6679.2,169.6606380816907
Haliburton,N/A,N/A,N/A,N/A,N/A
Hastings,N/A,11900,104,1237.6,31.436699857752487
Kawartha Lakes,12663,12300,128,1574.4,39.99187157081894
Muskoka,0,N/A,N/A,N/A,N/A
Northumberland,26796,26100,126,3288.6,83.53485064011379
Parry Sound,0,N/A,N/A,N/A,N/A
Peterborough,7129,6900,118,814.2,20.681771997561473
Prince Edward,11788,11500,129,1483.5,37.68288965657386
York,19991,19400,119,2308.6,58.641536273115214
Central Ontario,142505,138700,124.61802575107296,17386.1,441.6302580776264
Frontenac,3300,3200,135,432,10.973379394432026
Lanark,4115,4000,125,500,12.700670595407438
Leeds and Grenville,16423,16000,133,2128,54.05405405405405
Lennox and Addington,5800,5600,112,627.2,15.93172119487909
Ottawa,37756,36700,151,5541.7,140.76661247713878
Prescott and Russell,42453,41300,153,6318.9,160.5085348506401
Renfrew,6569,6400,139,889.6,22.59703312334891
"Stormont, Dundas and Glengarry",93233,90700,148,13423.6,340.97744360902254
Eastern Ontario,209649,203900,146.44923982344287,29861,758.509449298923
Algoma,51,N/A,N/A,N/A,N/A
Cochrane,N/A,N/A,N/A,N/A,N/A
Greater Sudbury,0,N/A,N/A,N/A,N/A
Kenora,0,N/A,N/A,N/A,N/A
Manitoulin,N/A,N/A,N/A,N/A,N/A
Nipissing,N/A,N/A,N/A,N/A,N/A
Rainy River,N/A,N/A,N/A,N/A,N/A
Sudbury,N/A,N/A,N/A,N/A,N/A
Thunder Bay,N/A,N/A,N/A,N/A,N/A
Timiskaming,856,N/A,89,N/A,N/A
Northern Ontario,1911,1900,88.6,168.34,4.276061776061776
Ontario,1577862,1535000,150.48829967426713,230999.54000000004,5867.698130461289
,,,,,
2005,Acres seeded ,Acres harvested,Yield (bushels/ac),Production ('000 bushels),Production ('000 tonnes)
Brant,35800,35200,156.33348893183313,5502.94,139.7820564925828
Chatham-Kent,113100,112400,159.53312204325474,17931.52,455.48465758992074
Elgin,85400,84900,151.0736475289653,12826.15,325.8014123145702
Essex,35800,35400,132.58256523584112,4693.42,119.21916277179434
Haldimand-Norfolk,74700,73300,139.13066519646682,10198.28,259.04998983946354
Hamilton,20500,19800,143.80764980862443,2847.39,72.32752489331436
Lambton,85700,82200,153.9155860409977,12651.86,321.3742125584231
Middlesex,121800,120500,151.1999096269229,18219.59,462.80202194675877
Niagara,20100,19100,116.4374106230665,2223.95,56.49131274131273
Oxford,143100,141000,164.36830233003383,23175.93,588.6997053444421
Southern Ontario,736000,723800,152.35009671179884,110271,2801.031294452347
Bruce,42400,42000,125.84868425548571,5285.64,134.26234505181873
Dufferin,10600,10600,130.21522442138254,1380.28,35.06096321885795
Grey,12200,12200,122.66143985208899,1496.47,38.012345051818734
Halton,6700,6700,107.34871617272199,719.24,18.26966063808169
Huron,160200,158600,150.67118927301917,23896.45,607.0018796992481
Peel,7300,7300,135.2998914063383,987.69,25.088650680755944
Perth,97500,95800,157.7318303919315,15110.71,383.8323003454582
Simcoe,38400,37900,122.26580436357035,4633.87,117.70651290388132
Waterloo,48000,47200,139.10616984195494,6565.81,166.78038000406423
Wellington,40900,40600,137.85985274969534,5597.11,142.17410079252184
Western Ontario,464200,458900,143.1096099368054,65673,1668.1822800243851
Durham,51000,49800,123.91416480001998,6170.93,156.74989839463524
Haliburton,N/A,N/A,N/A,N/A,N/A
Hastings,8500,8500,94.35701008749263,802.03,20.372637675269253
Kawartha Lakes,13500,13000,103.92447937509121,1351.02,34.31771997561471
Muskoka,N/A,N/A,N/A,N/A,N/A
Northumberland,18400,17000,119.5327298339605,2032.06,51.61704938020727
Parry Sound,100,100,121.67171699442333,12.17,0.309134322292217
Peterborough,7500,7000,90.42356364875081,632.96,16.078032920138185
Prince Edward,9800,9800,99.33390098560142,973.47,24.727443609022554
York,26100,23000,124.5929483185947,2865.64,72.79109937004674
Central Ontario,134900,128200,115.7566302652106,14840,376.9559032716927
Frontenac,6000,5300,100.39336642348343,532.08,13.51554562080878
Lanark,10600,10600,98.39322757911137,1042.97,26.492836821784188
Leeds and Grenville,17600,16700,120.56961381534562,2013.51,51.145854501117654
Lennox and Addington,5200,5200,92.68630822974029,481.97,12.242684413737045
Ottawa,45100,42500,144.270877597487,6131.51,155.7485775248933
Prescott and Russell,47000,46500,152.2166532629485,7078.07,179.79247104247102
Renfrew,7500,7500,100.31964054896537,752.4,19.11196911196911
"Stormont, Dundas and Glengarry",123900,117800,152.64746779394423,17981.87,456.76361511887825
Eastern Ontario,262900,252100,142.85997619992068,36015,914.8293029871977
Algoma,N/A,N/A,N/A,N/A,N/A
Cochrane,N/A,N/A,N/A,N/A,N/A
Greater Sudbury,N/A,N/A,N/A,N/A,N/A
Kenora,100,100,77.51972847610247,7.75,0.19686039422881527
Manitoulin,200,200,108.97943799459188,21.8,0.5537492379597643
Nipissing,N/A,N/A,N/A,N/A,N/A
Rainy River,N/A,N/A,N/A,N/A,N/A
Sudbury,N/A,N/A,N/A,N/A,N/A
Thunder Bay,100,100,78.0059133578545,7.8,0.198130461288356
Timiskaming,1600,1600,102.00734480504087,163.21,4.145752895752896
Northern Ontario,2000,2000,100.5,201,5.10566957935379
Ontario,1600000,1565000,145.04792332268372,227000,5766.104450314976
,,,,,
2004,Acres seeded ,Acres harvested,Yield (bushels/ac),Production ('000 bushels),Production ('000 tonnes)
Brant,43200,38000,119.87106351708857,4555.1,115.70564925828084
Chatham-Kent,120100,113100,152.22433165953277,17216.57,437.3239687055476
Elgin,91400,87800,137.58131378196617,12079.64,306.83905710221495
Essex,32100,32100,138.0245485880784,4430.59,112.54292826661248
Haldimand-Norfolk,71300,60500,123.35394559712087,7462.91,189.56792318634422
Hamilton,19100,17100,114.58868199345628,1959.47,49.77316602316602
Lambton,87500,87500,144.15541318800885,12613.6,320.4023572444625
Middlesex,126400,116400,136.1093445358553,15843.13,402.4367506604348
Niagara,17100,15900,111.68011558374045,1775.71,45.10541556594188
Oxford,144800,134400,130.35907198680056,17520.26,445.0381020117862
Southern Ontario,753000,702800,135.8252703471827,95458,2424.761227392806
Bruce,58000,52400,117.41822380117613,6152.71,156.2870859581386
Dufferin,10100,8500,109.15880696940289,927.85,23.56863442389758
Grey,22700,19200,111.20156669058872,2135.07,54.23364153627312
Halton,12500,12500,111.83930002097617,1397.99,35.510820971347286
Huron,186100,186000,134.29958280250884,24979.72,634.5183905710221
Peel,6200,6200,118.410656342421,734.15,18.648394635236738
Perth,104900,104900,127.47231557051333,13371.85,339.6629242023979
Simcoe,49900,44000,120.23410211738607,5290.3,134.38071530176794
Waterloo,47900,42200,115.13356378302993,4858.64,123.41597236334079
Wellington,43600,41500,114.66418966192859,4758.56,120.87380613696403
Western Ontario,541900,517400,124.87050637804407,64608,1641.1298516561674
Durham,46500,40500,120.44417535382834,4877.99,123.90748831538303
Haliburton,N/A,N/A,N/A,N/A,N/A
Hastings,14200,13600,115.56910892988392,1571.74,39.92430400325137
Kawartha Lakes,18900,16200,112.70970091897324,1825.9,46.38030888030888
Muskoka,N/A,N/A,N/A,N/A,N/A
Northumberland,24600,21900,124.97018459395113,2736.85,69.51966063808169
Parry Sound,100,100,98.76245041839036,9.88,0.25096525096525096
Peterborough,9400,7900,103.70202546257883,819.25,20.810048770575087
Prince Edward,10600,10600,113.15184559901502,1199.41,30.46662263767527
York,24000,19500,111.61661417007474,2176.52,55.286527128632386
Central Ontario,148300,130300,116.792018419033,15218,386.5576102418207
Frontenac,3400,2700,122.57436482204261,330.95,8.406573867100182
Lanark,4200,4200,122.61226347226611,514.97,13.080928673033936
Leeds and Grenville,15000,15000,123.4755362128601,1852.13,47.04658605974395
Lennox and Addington,6200,6200,120.3639095621193,746.26,18.956004877057506
Ottawa,38400,34900,138.33072295609213,4827.74,122.63107092054459
Prescott and Russell,58200,58200,141.39775142591373,8229.35,209.0365271286324
Renfrew,7800,7800,114.64272461247853,894.21,22.71413330623857
"Stormont, Dundas and Glengarry",121500,118700,144.56909872310547,17160.35,435.89590530379996
Eastern Ontario,254700,247700,139.50343157044813,34555,877.743344848608
Algoma,200,0,0,0,0
Cochrane,N/A,N/A,N/A,N/A,N/A
Greater Sudbury,N/A,N/A,N/A,N/A,N/A
Kenora,100,100,95.54618391656025,9.55,0.24258280837228205
Manitoulin,300,300,94.28511449380892,28.29,0.7186039422881527
Nipissing,N/A,N/A,N/A,N/A,N/A
Rainy River,N/A,N/A,N/A,N/A,N/A
Sudbury,N/A,N/A,N/A,N/A,N/A
Thunder Bay,100,100,97.11943820858198,9.71,0.24664702296281243
Timiskaming,1400,1300,86.83305193833229,112.88,2.8673033936191827
Northern Ontario,2100,1800,89.44444444444444,161,4.089615931721195
Ontario,1700000,1600000,131.25,210000,5334.281650071123
,,,,,
